27/03/07
Data from the CAN bus logged in two different
modes of operation. This is UI to CU base conversations



Green Power button only......
id:0412 00 00 00 00 01 8E 00 00
id:0414 AA 40 00 00 00 00 00 00
id:0412 00 00 00 00 01 8B 00 00
id:0412 00 00 00 00 01 8B 00 00
id:0412 00 00 00 00 01 8B 00 00
id:0414 AA 40 00 00 00 00 00 00
id:0412 00 00 00 00 01 8B 00 00
id:0412 00 00 00 00 01 8B 00 00
id:0412 00 00 00 00 01 90 00 00
id:0412 00 00 00 00 01 90 00 00
id:0414 AA 40 00 00 00 00 00 00
id:0412 00 00 00 00 01 90 00 00
id:0412 00 00 00 00 01 90 00 00

In Tractor mode. Stationary..
id:0403 BF 8F FF FF 8F 09 FF FF
id:0404 49 C2 00 00 09 9D 00 01
id:0405 FF D6 00 19 00 80 00 00
id:0406 00 01 00 00 01 8D 01 30
id:0407 00 00 00 00 00 00 00 00
id:0400 07 F0 05 04 0D 35 04 23
id:0401 00 07 00 02 00 02 00 08
id:0688 00 00 00 00 01 8A 00 00
id:0680 00 05 00 80 00 00 3E 57
id:0402 00 00 00 00 FF E0 02 12
id:0403 BF 8F FF FF 8F 09 FF FF
id:0404 49 C2 00 00 09 9D 00 01
id:0405 FF DE 00 17 00 80 00 00
id:0406 00 01 00 00 01 8A 01 30
id:0407 00 00 00 00 00 00 00 00
id:0400 07 F0 05 04 0D 35 04 25
id:0401 00 07 00 06 00 02 FF FA
id:0688 00 00 00 00 01 8A 00 00
id:0680 00 05 00 80 00 00 3E 57
id:0402 00 00 00 00 FF FA 02 13
id:0403 BF 8F FF FF 8F 09 FF FF
id:0404 49 C2 00 00 09 9D 00 01
id:0414 AA 00 00 00 00 00 00 00
id:0405 FF DE 00 17 00 80 00 00
id:0406 00 01 00 00 01 8A 01 30
id:0688 00 00 00 00 01 8A 00 00
id:0407 00 00 00 00 00 00 00 00
id:0400 07 F0 05 04 0D 35 04 27

